domain,status,registrar
nervox.com,TAKEN,Dynadot Inc
nesso.com,TAKEN,Network Solutions, LLC
netlux.com,TAKEN,GoDaddy.com, LLC
netra.com,TAKEN,GoDaddy.com, LLC
neurex.com,TAKEN,GoDaddy.com, LLC
neurik.com,TAKEN,Bluehost Inc.
neurly.com,TAKEN,Dynadot Inc
nevel.com,TAKEN,CSL Computer Service Langenbach GmbH d/b
newel.com,TAKEN,Network Solutions, LLC
nexova.com,TAKEN,Dynadot Inc
nexum.com,TAKEN,Mesh Digital Limited
nexura.com,TAKEN,Tucows Domains Inc.
nidhi.com,TAKEN,GoDaddy.com, LLC
niello.com,TAKEN,Moniker Online Services LLC
nieve.com,TAKEN,Gandi SAS
nimfex.com,AVAILABLE,none
nodely.com,TAKEN,Dynadot Inc
nodex.com,TAKEN,Network Solutions, LLC
nodify.com,TAKEN,GoDaddy.com, LLC
nodus.com,TAKEN,GoDaddy.com, LLC
nomic.com,TAKEN,NameCheap, Inc.
noria.com,TAKEN,GoDaddy.com, LLC
norvi.com,TAKEN,Dinahosting s.l.
novafy.com,TAKEN,GoDaddy.com, LLC
novyx.com,TAKEN,GoDaddy.com, LLC
nuvex.com,TAKEN,HOSTINGER operations, UAB
nuvolt.com,TAKEN,IONOS SE
nuvox.com,TAKEN,MarkMonitor Inc.
nuxon.com,TAKEN,Megazone Corp., dba HOSTING.KR
nyxo.com,TAKEN,GoDaddy.com, LLC
oakum.com,TAKEN,GoDaddy.com, LLC
oculo.com,TAKEN,Tucows Domains Inc.
ogival.com,TAKEN,Tucows Domains Inc.
okara.com,TAKEN,GoDaddy.com, LLC
olari.com,TAKEN,GoDaddy.com, LLC
oleate.com,TAKEN,Rabbitsfoot.com LLC d/b/a Oxygen.nyc
oleum.com,TAKEN,GoDaddy.com, LLC
omflex.com,TAKEN,BigRock Solutions Ltd
omnify.com,TAKEN,GoDaddy.com, LLC
omnira.com,TAKEN,GoDaddy.com, LLC
oorie.com,TAKEN,GoDaddy.com, LLC
opero.com,TAKEN,Tucows Domains Inc.
opsin.com,TAKEN,Ascio Technologies, Inc. Danmark - Filia
orbic.com,TAKEN,Gandi SAS
orbis.com,TAKEN,Gandi SAS
orbyx.com,TAKEN,GoDaddy.com, LLC
orgeat.com,TAKEN,GoDaddy.com, LLC
origo.com,TAKEN,Nom-iq Ltd. dba COM LAUDE
orlop.com,TAKEN,eNom, LLC
orris.com,TAKEN,GoDaddy.com, LLC
orvio.com,TAKEN,Alpine Domains Inc.
osari.com,TAKEN,Wild West Domains, LLC
osimo.com,TAKEN,Dynadot Inc
oxalis.com,TAKEN,Gandi SAS
oxter.com,TAKEN,Name.com, Inc.
palco.com,TAKEN,InterNetX GmbH
palor.com,TAKEN,DropCatch.com 542 LLC
palus.com,TAKEN,Dynadot Inc
pard.com,TAKEN,GoDaddy.com, LLC
pareo.com,TAKEN,GoDaddy.com, LLC
parian.com,TAKEN,Squarespace Domains II LLC
parrel.com,TAKEN,NameSilo, LLC
parsr.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
pavan.com,TAKEN,COREhub, S.R.L.
pavane.com,TAKEN,Ligne Web Services SAS dba LWS
peakfy.com,TAKEN,Paknic (Private) Limited
peakix.com,TAKEN,Dynadot Inc
peakly.com,TAKEN,1API GmbH
peakra.com,TAKEN,Dynadot Inc
pelto.com,TAKEN,Network Solutions, LLC
pexol.com,TAKEN,Dynadot Inc
pickr.com,TAKEN,eNom, LLC
pieno.com,TAKEN,GoDaddy Online Services Cayman Islands L
pinna.com,TAKEN,Tucows Domains Inc.
pinnyx.com,AVAILABLE,none
pivex.com,TAKEN,NameCheap, Inc.
pivon.com,TAKEN,Domain.com - Network Solutions, LLC
pivox.com,TAKEN,Network Solutions, LLC
pixora.com,TAKEN,NameCheap, Inc.
plaxon.com,TAKEN,Alpine Domains Inc.
plexar.com,TAKEN,Wild West Domains, LLC
plexly.com,TAKEN,NameSilo, LLC
plica.com,TAKEN,Annulet LLC
plico.com,TAKEN,Network Solutions, LLC
plisse.com,TAKEN,Tucows Domains Inc.
plixon.com,TAKEN,GoDaddy.com, LLC
ploxen.com,TAKEN,Cloudflare, Inc.
ploxion.com,TAKEN,NameSilo, LLC
pluvex.com,TAKEN,Alibaba Cloud Computing Ltd. d/b/a HiChi
plux.com,TAKEN,eNom, LLC
plyvex.com,TAKEN,NameCheap, Inc.
pomace.com,TAKEN,Cloudflare, Inc.
pongee.com,TAKEN,Net-Chinese Co., Ltd.
ponto.com,TAKEN,GoDaddy.com, LLC
pottle.com,TAKEN,Tucows Domains Inc.
praan.com,TAKEN,GoDaddy.com, LLC
prado.com,TAKEN,Combell NV
pravi.com,TAKEN,GoDaddy Online Services Cayman Islands L
praxel.com,TAKEN,GoDaddy.com, LLC
prevol.com,TAKEN,OVH sas
prevox.com,TAKEN,GoDaddy.com, LLC
primax.com,TAKEN,GoDaddy.com, LLC
primex.com,TAKEN,MarkMonitor Inc.
primus.com,TAKEN,PDR Ltd. d/b/a PublicDomainRegistry.com
prise.com,TAKEN,Tucows Domains Inc.
pruvex.com,TAKEN,GoDaddy.com, LLC
pruxon.com,AVAILABLE,none
prylok.com,AVAILABLE,none
prysma.com,TAKEN,DreamHost, LLC
pryzm.com,TAKEN,Wild West Domains, LLC
pulsex.com,TAKEN,NameCheap, Inc.
pulso.com,TAKEN,OVH sas
pulsra.com,TAKEN,NameCheap, Inc.
pulvex.com,AVAILABLE,none
pulzar.com,TAKEN,Key-Systems GmbH
purfly.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
purlin.com,TAKEN,GoDaddy Online Services Cayman Islands L
purvex.com,TAKEN,Ripcord Domains, LLC
puxon.com,TAKEN,Alibaba Cloud Computing Ltd. d/b/a HiChi
pyrfix.com,AVAILABLE,none
qalbi.com,TAKEN,GoDaddy Online Services Cayman Islands L
qamar.com,TAKEN,GoDaddy.com, LLC
qinex.com,TAKEN,MarkMonitor Inc.
qivex.com,TAKEN,Unstoppable Domains Inc.
quahog.com,TAKEN,GoDaddy.com, LLC
quaich.com,TAKEN,GoDaddy.com, LLC
quaryx.com,TAKEN,GoDaddy.com, LLC
qubix.com,TAKEN,Blacknight Internet Solutions Ltd.
quinze.com,TAKEN,InterNetX GmbH
quori.com,TAKEN,GoDaddy.com, LLC
raflux.com,TAKEN,GoDaddy.com, LLC
ranke.com,TAKEN,Alibaba Cloud Computing Ltd. d/b/a HiChi
rapex.com,TAKEN,Dynadot Inc
raphe.com,TAKEN,GoDaddy.com, LLC
raplix.com,TAKEN,Tucows Domains Inc.
ratal.com,TAKEN,Alpine Domains Inc.
ratna.com,TAKEN,GoDaddy Online Services Cayman Islands L
ravix.com,TAKEN,Dynadot Inc
ravno.com,TAKEN,Megazone Corp., dba HOSTING.KR
rawda.com,TAKEN,Moniker Online Services LLC
raxon.com,TAKEN,Hosting Concepts B.V. d/b/a Registrar.eu
razzo.com,TAKEN,GoDaddy.com, LLC
reeve.com,TAKEN,Network Solutions, LLC
reflyx.com,TAKEN,OVH sas
regio.com,TAKEN,NetArt Registrar Sp. z o.o.
relva.com,TAKEN,GoDaddy Online Services Cayman Islands L
relvox.com,TAKEN,GoDaddy.com, LLC
rendr.com,TAKEN,GoDaddy.com, LLC
reseda.com,TAKEN,GoDaddy.com, LLC
reval.com,TAKEN,MarkMonitor Inc.
riamo.com,TAKEN,GoDaddy.com, LLC
riavo.com,TAKEN,Network Solutions, LLC
ridgly.com,TAKEN,GoDaddy.com, LLC
rihla.com,TAKEN,GoDaddy Online Services Cayman Islands L
rillet.com,TAKEN,Gandi SAS
ringa.com,TAKEN,GoDaddy.com, LLC
riprap.com,TAKEN,GoDaddy.com, LLC
rivox.com,TAKEN,GoDaddy.com, LLC
roband.com,TAKEN,Network Solutions, LLC
rondel.com,TAKEN,Unstoppable Domains Inc.
roseal.com,TAKEN,GoDaddy.com, LLC
rosna.com,TAKEN,Alpine Domains Inc.
rowan.com,TAKEN,GoDaddy Online Services Cayman Islands L
roxol.com,TAKEN,GoDaddy.com, LLC
ruche.com,TAKEN,Network Solutions, LLC
ruflux.com,TAKEN,Domain.com - Network Solutions, LLC
ruivo.com,TAKEN,Register SPA
rumpo.com,TAKEN,Alpine Domains Inc.
rushex.com,TAKEN,Wild West Domains, LLC
rushix.com,TAKEN,GoDaddy.com, LLC
rushly.com,TAKEN,Cloudflare, Inc.
rutile.com,TAKEN,Squarespace Domains II LLC
ruvex.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
rymd.com,TAKEN,GoDaddy Online Services Cayman Islands L
sabil.com,TAKEN,OVH sas
sabot.com,TAKEN,GoDaddy.com, LLC
sahaj.com,TAKEN,PDR Ltd. d/b/a PublicDomainRegistry.com
sallet.com,TAKEN,Network Solutions, LLC
samite.com,TAKEN,Network Solutions, LLC
sapid.com,TAKEN,Network Solutions, LLC
sapio.com,TAKEN,Synergy Wholesale Accreditations Pty Ltd
sapor.com,TAKEN,Megazone Corp., dba HOSTING.KR
sarsen.com,TAKEN,Squarespace Domains II LLC
savol.com,TAKEN,Registrar of Domain Names REG.RU LLC
saxol.com,TAKEN,NameSilo, LLC
scanr.com,TAKEN,GoDaddy.com, LLC
schub.com,TAKEN,InterNetX GmbH
schuf.com,TAKEN,Network Solutions, LLC
scoria.com,TAKEN,NameCheap, Inc.
scrim.com,TAKEN,GoDaddy Online Services Cayman Islands L
seely.com,TAKEN,Tucows Domains Inc.
segno.com,TAKEN,Netistrar Limited
selah.com,TAKEN,GoDaddy.com, LLC
selva.com,TAKEN,INWX GmbH
sennet.com,TAKEN,Dynadot Inc
senso.com,TAKEN,Tucows Domains Inc.
senvy.com,TAKEN,Dynadot Inc
seori.com,TAKEN,Dynadot Inc
sepal.com,TAKEN,DropCatch.com 500 LLC
sept.com,TAKEN,Cloudflare, Inc.
seuil.com,TAKEN,Gandi SAS
shapex.com,TAKEN,Dynadot Inc
shapix.com,TAKEN,GoDaddy.com, LLC
shaply.com,TAKEN,Alibaba Cloud Computing (Beijing) Co., L
shiro.com,TAKEN,MarkMonitor Inc.
sigfix.com,TAKEN,Inames Co., Ltd.
sigil.com,TAKEN,Network Solutions, LLC
sigral.com,TAKEN,eNom, LLC
silvo.com,TAKEN,NameSilo, LLC
simnel.com,TAKEN,GoDaddy.com, LLC
skilyx.com,TAKEN,GoDaddy.com, LLC
skylux.com,TAKEN,eNom, LLC
skynov.com,TAKEN,HOSTINGER operations, UAB
skyvex.com,TAKEN,GoDaddy.com, LLC
smalt.com,TAKEN,Tucows Domains Inc.
smapix.com,TAKEN,123-Reg Limited
smarex.com,TAKEN,Squarespace Domains LLC
snapex.com,TAKEN,GoDaddy.com, LLC
snapik.com,TAKEN,GoDaddy.com, LLC
snaplr.com,TAKEN,DropCatch.com 857 LLC
snaply.com,TAKEN,GoDaddy.com, LLC
soffit.com,TAKEN,1API GmbH
solco.com,TAKEN,Network Solutions, LLC
solvr.com,TAKEN,GoDaddy.com, LLC
somni.com,TAKEN,GoDaddy.com, LLC
sorel.com,TAKEN,MarkMonitor Inc.
sorgo.com,TAKEN,PDR Ltd. d/b/a PublicDomainRegistry.com
sorna.com,TAKEN,Wild West Domains, LLC
sovex.com,TAKEN,GoDaddy Online Services Cayman Islands L
spall.com,TAKEN,IONOS SE
sparq.com,TAKEN,Dynadot Inc
spelk.com,TAKEN,NameCheap, Inc.
spiga.com,TAKEN,OVH sas
spinet.com,TAKEN,Alibaba Cloud Computing (Beijing) Co., L
sprue.com,TAKEN,GoDaddy.com, LLC
stackr.com,TAKEN,GoDaddy.com, LLC
stak.com,TAKEN,NameCheap, Inc.
stakk.com,TAKEN,GoDaddy.com, LLC
staxon.com,TAKEN,Tucows Domains Inc.
stelo.com,TAKEN,GoDaddy.com, LLC
stelox.com,TAKEN,GoDaddy Online Services Cayman Islands L
stivex.com,TAKEN,GoDaddy.com, LLC
stivol.com,TAKEN,Key-Systems GmbH
stolon.com,TAKEN,NameSilo, LLC
stolz.com,TAKEN,GoDaddy.com, LLC
stonyx.com,TAKEN,Cloudflare, Inc.
storyx.com,TAKEN,GoDaddy.com, LLC
stoure.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
strath.com,TAKEN,Wild West Domains, LLC
strom.com,TAKEN,GoDaddy.com, LLC
stryke.com,TAKEN,Dynadot Inc
stuxon.com,AVAILABLE,none
styla.com,TAKEN,Gandi SAS
stynex.com,TAKEN,eNom, LLC
sumac.com,TAKEN,Amazon Registrar, Inc.
sund.com,TAKEN,eNom, LLC
surdo.com,TAKEN,GoDaddy.com, LLC
suvon.com,TAKEN,eNom, LLC
suzu.com,TAKEN,GMO Internet Group, Inc. d/b/a Onamae.co
svara.com,TAKEN,Ascio Technologies, Inc. Danmark - Filia
swage.com,TAKEN,Register.com - Network Solutions, LLC
swale.com,TAKEN,Sea Wasp, LLC
sward.com,TAKEN,Inames Co., Ltd.
swifex.com,TAKEN,GoDaddy.com, LLC
swifly.com,TAKEN,GoDaddy.com, LLC
swixel.com,TAKEN,GoDaddy.com, LLC
sylvan.com,TAKEN,Network Solutions, LLC
syner.com,TAKEN,DNC Holdings, Inc.
synkal.com,TAKEN,IONOS SE
synko.com,TAKEN,united-domains GmbH
synlux.com,TAKEN,Dynadot Inc
synova.com,TAKEN,Network Solutions, LLC
syntex.com,TAKEN,SafeNames Ltd.
synvox.com,TAKEN,Register.com - Network Solutions, LLC
tabor.com,TAKEN,Tucows Domains Inc.
talis.com,TAKEN,Amazon Registrar, Inc.
talus.com,TAKEN,MarkMonitor Inc.
talvi.com,TAKEN,GoDaddy.com, LLC
tamis.com,TAKEN,GoDaddy Online Services Cayman Islands L
tannin.com,TAKEN,GoDaddy.com, LLC
tanvi.com,TAKEN,Register SPA
taran.com,TAKEN,PDR Ltd. d/b/a PublicDomainRegistry.com
tarn.com,TAKEN,GoDaddy.com, LLC
tarsal.com,TAKEN,GoDaddy.com, LLC
tavol.com,TAKEN,Dynadot Inc
tazza.com,TAKEN,PresidentialDomains LLC
teff.com,TAKEN,GoDaddy.com, LLC
tejas.com,TAKEN,Tucows Domains Inc.
telum.com,TAKEN,IONOS SE
tembo.com,TAKEN,DomainSpot LLC
tendo.com,TAKEN,GoDaddy.com, LLC
tepal.com,TAKEN,GoDaddy.com, LLC
terce.com,TAKEN,GoDaddy Online Services Cayman Islands L
tetsu.com,TAKEN,Japan Registry Services Co., Ltd.
teum.com,TAKEN,Netpia.com, Inc.
tevol.com,TAKEN,Inames Co., Ltd.
tevox.com,TAKEN,Mesh Digital Limited
thane.com,TAKEN,MarkMonitor Inc.
thole.com,TAKEN,Key-Systems GmbH
threx.com,TAKEN,Alibaba Cloud Computing (Beijing) Co., L
thrum.com,TAKEN,GoDaddy.com, LLC
thrums.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
thynk.com,TAKEN,GoDaddy.com, LLC
timbrel.com,TAKEN,Network Solutions, LLC
tivex.com,TAKEN,DNC Holdings, Inc.
toile.com,TAKEN,Webnames.ca Inc.
tolvex.com,TAKEN,Annulet LLC
tondo.com,TAKEN,GoDaddy.com, LLC
torc.com,TAKEN,GoDaddy.com, LLC
torma.com,TAKEN,Network Solutions, LLC
torr.com,TAKEN,GoDaddy.com, LLC
trackr.com,TAKEN,GoDaddy.com, LLC
trak.com,TAKEN,Network Solutions, LLC
trevet.com,TAKEN,OVH sas
trilex.com,TAKEN,NameCheap, Inc.
trilha.com,TAKEN,Moniker Online Services LLC
trivo.com,TAKEN,GoDaddy.com, LLC
trixon.com,TAKEN,GoDaddy.com, LLC
trocar.com,TAKEN,GoDaddy.com, LLC
trovex.com,TAKEN,Mesh Digital Limited
trufix.com,TAKEN,Megazone Corp., dba HOSTING.KR
trufly.com,TAKEN,GoDaddy.com, LLC
trug.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
trulix.com,TAKEN,Squarespace Domains LLC
truvex.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
trybe.com,TAKEN,GoDaddy.com, LLC
trynex.com,TAKEN,GoDaddy.com, LLC
tryxel.com,TAKEN,Ligne Web Services SAS dba LWS
tsuru.com,TAKEN,Gandi SAS
tulle.com,TAKEN,Register SPA
turvo.com,TAKEN,GoDaddy.com, LLC
tussah.com,TAKEN,GoDaddy.com, LLC
tuvex.com,TAKEN,GoDaddy.com, LLC
twixar.com,TAKEN,GoDaddy.com, LLC
udara.com,TAKEN,GoDaddy.com, LLC
udaya.com,TAKEN,NameCheap, Inc.
ujana.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
ultrap.com,TAKEN,InterNetX GmbH
ultrex.com,TAKEN,DreamHost, LLC
umari.com,TAKEN,NameCheap, Inc.
umbral.com,TAKEN,GoDaddy.com, LLC
undis.com,TAKEN,NameCheap, Inc.
uravi.com,TAKEN,GoDaddy.com, LLC
urtext.com,TAKEN,Circle of Domains LLC
vair.com,TAKEN,Dynadot Inc
valdo.com,TAKEN,Key-Systems GmbH
varlet.com,TAKEN,GoDaddy.com, LLC
varna.com,TAKEN,Network Solutions, LLC
vastex.com,TAKEN,Network Solutions, LLC
vastik.com,TAKEN,GoDaddy.com, LLC
vecto.com,TAKEN,GoDaddy.com, LLC
vectra.com,TAKEN,Tucows Domains Inc.
vekl.com,TAKEN,GoDaddy.com, LLC
vekli.com,TAKEN,DreamHost, LLC
veklix.com,AVAILABLE,none
vekol.com,TAKEN,Xin Net Technology Corporation
velari.com,TAKEN,GoDaddy.com, LLC
velco.com,TAKEN,Network Solutions, LLC
velix.com,TAKEN,GoDaddy.com, LLC
velk.com,TAKEN,GoDaddy.com, LLC
velko.com,TAKEN,Network Solutions, LLC
vello.com,TAKEN,Tucows Domains Inc.
vellum.com,TAKEN,GoDaddy.com, LLC
veloz.com,TAKEN,Network Solutions, LLC
velta.com,TAKEN,SafeNames Ltd.
velxo.com,TAKEN,DropCatch.com 1493 LLC
velzo.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
vendix.com,TAKEN,Alpine Domains Inc.
venki.com,TAKEN,GoDaddy Online Services Cayman Islands L
venkix.com,TAKEN,Squarespace Domains II LLC
venlar.com,TAKEN,GoDaddy.com, LLC
venzo.com,TAKEN,CSL Computer Service Langenbach GmbH d/b
verdin.com,TAKEN,GoDaddy.com, LLC
verdun.com,TAKEN,GoDaddy.com, LLC
vernal.com,TAKEN,eName Technology Co., Ltd.
verre.com,TAKEN,Dynadot Inc
vertly.com,TAKEN,GoDaddy.com, LLC
verum.com,TAKEN,Tucows Domains Inc.
vesna.com,TAKEN,DomainSpot LLC
vespo.com,TAKEN,Network Solutions, LLC
vestal.com,TAKEN,Tucows Domains Inc.
vetta.com,TAKEN,GoDaddy.com, LLC
vexl.com,TAKEN,GoDaddy Online Services Cayman Islands L
vexlar.com,TAKEN,Tucows Domains Inc.
vexly.com,TAKEN,DreamHost, LLC
vexora.com,TAKEN,GoDaddy.com, LLC
vinco.com,TAKEN,Network Solutions, LLC
vireo.com,TAKEN,Sea Wasp, LLC
virtus.com,TAKEN,Network Solutions, LLC
vitta.com,TAKEN,Network Solutions, LLC
vivum.com,TAKEN,Tucows Domains Inc.
vixly.com,TAKEN,Network Solutions, LLC
vixo.com,TAKEN,IONOS SE
vixol.com,TAKEN,GoDaddy Online Services Cayman Islands L
voile.com,TAKEN,Network Solutions, LLC
vokex.com,TAKEN,Alibaba Cloud Computing (Beijing) Co., L
voklix.com,TAKEN,HOSTINGER operations, UAB
vokrin.com,AVAILABLE,none
volant.com,TAKEN,Wild West Domains, LLC
volat.com,TAKEN,Gandi SAS
volute.com,TAKEN,Dynadot Inc
vonex.com,TAKEN,Amazon Registrar, Inc.
voniq.com,TAKEN,GoDaddy.com, LLC
vonka.com,TAKEN,Dynadot Inc
vorb.com,TAKEN,Network Solutions, LLC
vorlix.com,TAKEN,Squarespace Domains II LLC
vorn.com,TAKEN,GoDaddy.com, LLC
vorza.com,TAKEN,GoDaddy Online Services Cayman Islands L
votex.com,TAKEN,GoDaddy.com, LLC
votix.com,TAKEN,GoDaddy.com, LLC
voute.com,TAKEN,GoDaddy.com, LLC
voxa.com,TAKEN,GoDaddy.com, LLC
voxely.com,TAKEN,GoDaddy.com, LLC
voxify.com,TAKEN,GoDaddy.com, LLC
voxil.com,TAKEN,Wild West Domains, LLC
voxira.com,TAKEN,GoDaddy.com, LLC
voxl.com,TAKEN,GoDaddy Online Services Cayman Islands L
voxlex.com,TAKEN,eNom, LLC
voxly.com,TAKEN,NameCheap, Inc.
vyoma.com,TAKEN,GoDaddy.com, LLC
vyrtex.com,TAKEN,GoDaddy.com, LLC
wadmal.com,TAKEN,Dynadot Inc
wahaj.com,TAKEN,GoDaddy.com, LLC
wahda.com,TAKEN,Tucows Domains Inc.
walmi.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
warno.com,TAKEN,IONOS SE
washi.com,TAKEN,GoDaddy.com, LLC
wavely.com,TAKEN,GoDaddy Online Services Cayman Islands L
wavify.com,TAKEN,NameCheap, Inc.
wavora.com,TAKEN,Cloudflare, Inc.
welkin.com,TAKEN,Network Solutions, LLC
welle.com,TAKEN,Dynadot Inc
wingu.com,TAKEN,GoDaddy Online Services Cayman Islands L
witan.com,TAKEN,Tucows Domains Inc.
wyntex.com,TAKEN,Xin Net Technology Corporation
xaldo.com,TAKEN,GoDaddy.com, LLC
xalon.com,TAKEN,GoDaddy Online Services Cayman Islands L
xalv.com,TAKEN,Alibaba Cloud Computing (Beijing) Co., L
xalvo.com,TAKEN,PDR Ltd. d/b/a PublicDomainRegistry.com
xandol.com,AVAILABLE,none
xandrix.com,TAKEN,GoDaddy.com, LLC
xari.com,TAKEN,GoDaddy.com, LLC
xarion.com,TAKEN,united-domains GmbH
xarvex.com,TAKEN,NameCheap, Inc.
xarvo.com,TAKEN,Unstoppable Domains Inc.
xebec.com,TAKEN,Network Solutions, LLC
xebi.com,TAKEN,Squarespace Domains II LLC
xelbi.com,TAKEN,GoDaddy.com, LLC
xelio.com,TAKEN,GoDaddy.com, LLC
xelion.com,TAKEN,Key-Systems GmbH
xelka.com,TAKEN,IONOS SE
xelmon.com,TAKEN,Entorno Digital, S.A.
xeln.com,TAKEN,Dynadot Inc
xelo.com,TAKEN,Dynadot Inc
xelto.com,TAKEN,OVH sas
xelvix.com,TAKEN,Unstoppable Domains Inc.
xelvo.com,TAKEN,NameCheap, Inc.
xelvon.com,TAKEN,NameCheap, Inc.
xenar.com,TAKEN,Gname.com Pte. Ltd.
xenbi.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
xenbix.com,TAKEN,PDR Ltd. d/b/a PublicDomainRegistry.com
xenlo.com,TAKEN,Dynadot Inc
xenol.com,TAKEN,GoDaddy.com, LLC
xenvo.com,TAKEN,NameCheap, Inc.
xerbi.com,TAKEN,GoDaddy.com, LLC
xerion.com,TAKEN,Dynadot Inc
xerlo.com,TAKEN,GoDaddy.com, LLC
xerno.com,TAKEN,Amazon Registrar, Inc.
xernol.com,TAKEN,NameSilo, LLC
xerv.com,TAKEN,GoDaddy.com, LLC
xerval.com,TAKEN,IONOS SE
xevor.com,TAKEN,InterNetX GmbH
xilvon.com,TAKEN,Alibaba Cloud Computing Ltd. d/b/a HiChi
xobi.com,TAKEN,GoDaddy.com, LLC
xorbex.com,TAKEN,Tucows Domains Inc.
xypher.com,TAKEN,Cloudflare, Inc.
yakso.com,TAKEN,Alpine Domains Inc.
yawl.com,TAKEN,GoDaddy Online Services Cayman Islands L
yeol.com,TAKEN,Megazone Corp., dba HOSTING.KR
ylkis.com,AVAILABLE,none
yume.com,TAKEN,Network Solutions, LLC
yurta.com,TAKEN,Network Solutions, LLC
zabra.com,TAKEN,GoDaddy.com, LLC
zaldex.com,TAKEN,GoDaddy.com, LLC
zamia.com,TAKEN,GoDaddy.com, LLC
zareba.com,TAKEN,GoDaddy.com, LLC
zarion.com,TAKEN,Blacknight Internet Solutions Ltd.
zarn.com,TAKEN,Dynadot Inc
zarvex.com,TAKEN,GoDaddy.com, LLC
zarvo.com,TAKEN,Name.com, Inc.
zarvol.com,AVAILABLE,none
zekl.com,TAKEN,Key-Systems GmbH
zeko.com,TAKEN,Cloudflare, Inc.
zelka.com,TAKEN,Synergy Wholesale Accreditations Pty Ltd
zelmon.com,TAKEN,NameCheap, Inc.
zelso.com,TAKEN,NameCheap, Inc.
zelv.com,TAKEN,Alibaba Cloud Computing (Beijing) Co., L
zelvar.com,TAKEN,GoDaddy.com, LLC
zenfix.com,TAKEN,GoDaddy Online Services Cayman Islands L
zenk.com,TAKEN,IONOS SE
zenko.com,TAKEN,GMO Internet Group, Inc. d/b/a Onamae.co
zenpix.com,TAKEN,Amazon Registrar, Inc.
zenvo.com,TAKEN,NameCheap, Inc.
zephix.com,TAKEN,Wild West Domains, LLC
zephyr.com,TAKEN,GoDaddy.com, LLC
zerka.com,TAKEN,Alpine Domains Inc.
zevio.com,TAKEN,Amazon Registrar, Inc.
zevo.com,TAKEN,GoDaddy.com, LLC
zibel.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
zibex.com,TAKEN,GoDaddy.com, LLC
zibon.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
zilex.com,TAKEN,Promo People, Inc.
zilox.com,TAKEN,NameSilo, LLC
zilvon.com,TAKEN,Alibaba Cloud Computing Ltd. d/b/a HiChi
zinex.com,TAKEN,Network Solutions, LLC
zinol.com,TAKEN,Alibaba Cloud Computing (Beijing) Co., L
zinox.com,TAKEN,Squarespace Domains II LLC
zinvex.com,TAKEN,Cloudflare, Inc.
zinvo.com,TAKEN,GoDaddy.com, LLC
zinvol.com,TAKEN,GoDaddy.com, LLC
ziral.com,TAKEN,GoDaddy Online Services Cayman Islands L
zirvo.com,TAKEN,GoDaddy.com, LLC
zivex.com,TAKEN,GoDaddy.com, LLC
zivol.com,TAKEN,Isimtescil Bilisim A.S.
zivon.com,TAKEN,Alpine Domains Inc.
zixo.com,TAKEN,GoDaddy.com, LLC
zobi.com,TAKEN,GoDaddy Online Services Cayman Islands L
zolbi.com,TAKEN,Dynadot Inc
zoldex.com,TAKEN,Dynadot Inc
zolex.com,TAKEN,Media Elite Holdings Limited, S.A.
zolix.com,TAKEN,GoDaddy.com, LLC
zolka.com,TAKEN,GoDaddy.com, LLC
zolv.com,TAKEN,eNom, LLC
zolvar.com,TAKEN,Domaincapitan.com LLC
zolvex.com,TAKEN,GoDaddy.com, LLC
zoplex.com,TAKEN,IONOS SE
zorex.com,TAKEN,GoDaddy.com, LLC
zorix.com,TAKEN,eNom, LLC
zorvex.com,TAKEN,GoDaddy.com, LLC
zorvix.com,TAKEN,GoDaddy.com, LLC
zorvo.com,TAKEN,NameSilo, LLC
zubel.com,TAKEN,Go Canada Domains, LLC
zubex.com,TAKEN,GoDaddy.com, LLC
zubio.com,TAKEN,DreamHost, LLC
zubix.com,TAKEN,OVH sas
zublar.com,AVAILABLE,none
zubo.com,TAKEN,GoDaddy.com, LLC
zulfex.com,TAKEN,NameCheap, Inc.
zulix.com,TAKEN,GoDaddy.com, LLC
zulk.com,TAKEN,GoDaddy Online Services Cayman Islands L
zumo.com,TAKEN,GoDaddy.com, LLC
zunex.com,TAKEN,Name.com, Inc.
zunvex.com,TAKEN,Name.com, Inc.
zurbex.com,TAKEN,NameSilo, LLC
zurbi.com,TAKEN,GoDaddy.com, LLC
zurdo.com,TAKEN,Tucows Domains Inc.
zurel.com,TAKEN,Key-Systems GmbH
zurex.com,TAKEN,GoDaddy.com, LLC
zurion.com,TAKEN,GoDaddy.com, LLC
zurk.com,TAKEN,World4You Internet Services GmbH
zurkel.com,TAKEN,Launchpad.com Inc.
zurna.com,TAKEN,GoDaddy.com, LLC
zurv.com,TAKEN,eNom, LLC
zurvex.com,TAKEN,GoDaddy.com, LLC
