domain,status,registrar
topfly.com,TAKEN,GoDaddy.com, LLC
topjog.com,TAKEN,Unstoppable Domains Inc.
topweb.com,TAKEN,Network Solutions, LLC
torqd.com,TAKEN,Tucows Domains Inc.
torqen.com,TAKEN,GoDaddy.com, LLC
trackt.com,TAKEN,123-Reg Limited
trakkr.com,TAKEN,GoDaddy.com, LLC
tralux.com,TAKEN,OVH sas
tralyx.com,TAKEN,NameCheap, Inc.
traxen.com,TAKEN,GoDaddy.com, LLC
traxol.com,TAKEN,PDR Ltd. d/b/a PublicDomainRegistry.com
trayl.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
trenyx.com,TAKEN,united-domains GmbH
trevix.com,TAKEN,Megazone Corp., dba HOSTING.KR
trivox.com,TAKEN,Squarespace Domains II LLC
tronk.com,TAKEN,Megazone Corp., dba HOSTING.KR
trovly.com,TAKEN,GoDaddy.com, LLC
trovr.com,TAKEN,Tucows Domains Inc.
truvol.com,TAKEN,GoDaddy.com, LLC
tsugi.com,TAKEN,GoDaddy.com, LLC
twalvo.com,AVAILABLE,none
twareo.com,AVAILABLE,none
twarlo.com,AVAILABLE,none
twaven.com,AVAILABLE,none
twenvo.com,AVAILABLE,none
twerlo.com,TAKEN,NameCheap, Inc.
twikso.com,TAKEN,GoDaddy.com, LLC
twilux.com,TAKEN,GoDaddy.com, LLC
twistd.com,TAKEN,GoDaddy.com, LLC
twivex.com,AVAILABLE,none
twixel.com,TAKEN,Gandi SAS
twuvex.com,AVAILABLE,none
twyken.com,AVAILABLE,none
tycho.com,TAKEN,Launchpad.com Inc.
upgo.com,TAKEN,GoDaddy.com, LLC
valkyn.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
valor.com,TAKEN,GoDaddy.com, LLC
vanir.com,TAKEN,Network Solutions, LLC
varux.com,TAKEN,GoDaddy.com, LLC
vaultr.com,TAKEN,Cloudflare, Inc.
velaro.com,TAKEN,Network Solutions, LLC
veloci.com,TAKEN,GKG.Net, Inc.
veltix.com,TAKEN,GoDaddy.com, LLC
verlix.com,TAKEN,PDR Ltd. d/b/a PublicDomainRegistry.com
versa.com,TAKEN,eNom, LLC
versly.com,TAKEN,MarkMonitor Inc.
vexico.com,TAKEN,GoDaddy.com, LLC
vexion.com,TAKEN,NameCheap, Inc.
vidya.com,TAKEN,GoDaddy.com, LLC
volta.com,TAKEN,GoDaddy.com, LLC
volts.com,TAKEN,GoDaddy.com, LLC
vorbit.com,TAKEN,Gandi SAS
vorkun.com,TAKEN,Dynadot Inc
voxium.com,TAKEN,Domain.com - Network Solutions, LLC
vundex.com,TAKEN,NameSilo, LLC
wabi.com,TAKEN,eName Technology Co., Ltd.
waxfly.com,TAKEN,Domain.com - Network Solutions, LLC
webfox.com,TAKEN,NameSilo, LLC
webkin.com,TAKEN,Wild West Domains, LLC
webtip.com,TAKEN,InterNetX GmbH
webzap.com,TAKEN,Ascio Technologies, Inc. Danmark - Filia
wedo.com,TAKEN,GoDaddy.com, LLC
wefly.com,TAKEN,IONOS SE
wyrd.com,TAKEN,Network Solutions, LLC
zaffly.com,TAKEN,GoDaddy.com, LLC
zanvox.com,TAKEN,IONOS SE
zapiro.com,TAKEN,Network Solutions, LLC
zarken.com,TAKEN,Amazon Registrar, Inc.
zarply.com,TAKEN,Dynadot Inc
zarvel.com,TAKEN,Dynadot Inc
zelvix.com,TAKEN,GoDaddy.com, LLC
zenfly.com,TAKEN,GoDaddy.com, LLC
zentho.com,TAKEN,Gname.com Pte. Ltd.
zephon.com,TAKEN,GoDaddy.com, LLC
zeplar.com,TAKEN,Dynadot Inc
zinbit.com,TAKEN,GoDaddy.com, LLC
zintro.com,TAKEN,GoDaddy.com, LLC
zipfly.com,TAKEN,GoDaddy.com, LLC
zipgo.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
ziptap.com,TAKEN,GoDaddy.com, LLC
zipweb.com,TAKEN,GoDaddy Online Services Cayman Islands L
zolven.com,TAKEN,GoDaddy.com, LLC
zundir.com,TAKEN,GoDaddy.com, LLC
zuplo.com,TAKEN,Cloudflare, Inc.
zylmar.com,AVAILABLE,none
